origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Swargate,Hinjewadi,9,40,1,0,2803,19447,0,24.97652515162326,0.0,1
Swargate,Hinjewadi,9,40,1,1,3035,23766,0,28.190313014827016,0.0,0
Swargate,Hinjewadi,9,40,1,2,2993,19532,0,23.493217507517542,0.0,0
Swargate,Hinjewadi,10,40,1,0,2938,19469,0,23.855820285908784,0.0,1
Swargate,Hinjewadi,10,40,1,1,3171,23766,0,26.98126773888363,0.0,0
Swargate,Hinjewadi,10,40,1,2,3149,19555,0,22.35566846617974,0.0,0
Swargate,Hinjewadi,11,40,1,0,3017,19469,0,23.231156778256548,0.0,1
Swargate,Hinjewadi,11,40,1,1,3233,23766,0,26.46384163315805,0.0,0
Swargate,Hinjewadi,11,40,1,2,3229,19555,0,21.80179622174048,0.0,0
Swargate,Hinjewadi,12,40,1,0,2963,19469,0,23.654539318258525,0.0,1
Swargate,Hinjewadi,12,40,1,1,3171,23766,0,26.98126773888363,0.0,0
Swargate,Hinjewadi,12,40,1,2,3156,19555,0,22.306083650190114,0.0,0
Swargate,Hinjewadi,13,40,1,0,2861,19469,0,24.49786787836421,0.0,1
Swargate,Hinjewadi,13,40,1,1,2973,23766,0,28.778203834510595,0.0,0
Swargate,Hinjewadi,13,40,1,2,3225,19556,0,21.82995348837209,0.0,0
Swargate,Hinjewadi,14,40,1,0,2883,19469,0,24.310926118626437,0.0,0
Swargate,Hinjewadi,14,40,1,1,2853,23766,0,29.988643533123028,0.0,1
Swargate,Hinjewadi,14,40,1,2,3209,19556,0,21.93879713306326,0.0,0
Swargate,Hinjewadi,15,40,1,0,2908,23766,0,29.421458046767533,0.0,1
Swargate,Hinjewadi,15,40,1,1,2990,19469,0,23.4409364548495,0.0,0
Swargate,Hinjewadi,15,40,1,2,3317,19556,0,21.22447995176364,0.0,0
Swargate,Hinjewadi,16,40,1,0,3140,23766,0,27.247643312101907,0.0,1
Swargate,Hinjewadi,16,40,1,1,3215,19447,0,21.77580093312597,0.0,0
Swargate,Hinjewadi,16,40,1,2,3567,19556,0,19.73692178301093,0.0,0
Swargate,Hinjewadi,17,40,1,0,3372,23578,0,25.17224199288256,0.0,1
Swargate,Hinjewadi,17,40,1,1,3500,19447,0,20.00262857142857,0.0,0
Swargate,Hinjewadi,17,40,1,2,3530,19532,0,19.91932011331445,0.0,0
Swargate,Hinjewadi,18,40,1,0,3476,19447,0,20.14073647871116,0.0,0
Swargate,Hinjewadi,18,40,1,1,3437,23630,0,24.750654640675005,0.0,1
Swargate,Hinjewadi,18,40,1,2,3499,19532,0,20.095798799657043,0.0,0
Swargate,Hinjewadi,19,40,1,0,3034,19447,0,23.0748846407383,0.0,1
Swargate,Hinjewadi,19,40,1,1,3192,23630,0,26.65037593984962,0.0,0
Swargate,Hinjewadi,19,40,1,2,3138,19532,0,22.407648183556404,0.0,0
Swargate,Hinjewadi,20,40,1,0,2582,19447,0,27.1143299767622,0.0,1
Swargate,Hinjewadi,20,40,1,1,2758,23562,0,30.755329949238583,0.0,0
Swargate,Hinjewadi,20,40,1,2,2723,19532,0,25.82269555637165,0.0,0
Swargate,Hinjewadi,21,40,1,0,2201,19447,0,31.80790549750113,0.0,1
Swargate,Hinjewadi,21,40,1,1,2313,23562,0,36.67237354085604,0.0,0
Swargate,Hinjewadi,21,40,1,2,2485,19870,0,28.785513078470828,0.0,0
Swargate,Hinjewadi,22,40,1,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,40,1,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,40,1,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,23,40,1,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,40,1,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,40,1,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,6,40,2,0,2211,19447,0,31.6640434192673,0.0,1
Swargate,Hinjewadi,6,40,2,1,2303,23562,0,36.83161094224924,0.0,0
Swargate,Hinjewadi,6,40,2,2,2535,19870,0,28.21775147928994,0.0,0
Swargate,Hinjewadi,7,40,2,0,2433,19447,0,28.774845869297163,0.0,1
Swargate,Hinjewadi,7,40,2,1,2554,23562,0,33.21190289741582,0.0,0
Swargate,Hinjewadi,7,40,2,2,2617,19532,0,26.86862820022927,0.0,0
Swargate,Hinjewadi,8,40,2,0,2649,19447,0,26.42853907134768,0.0,1
Swargate,Hinjewadi,8,40,2,1,2870,23630,0,29.640418118466897,0.0,0
Swargate,Hinjewadi,8,40,2,2,2817,19532,0,24.961022364217254,0.0,0
Swargate,Hinjewadi,9,40,2,0,2771,19447,0,25.26495849873692,0.0,1
Swargate,Hinjewadi,9,40,2,1,2984,23630,0,28.50804289544236,0.0,0
Swargate,Hinjewadi,9,40,2,2,2934,19532,0,23.965644171779143,0.0,0
Swargate,Hinjewadi,10,40,2,0,2929,19469,0,23.92912256742916,0.0,1
Swargate,Hinjewadi,10,40,2,1,3134,23766,0,27.29980855137205,0.0,0
Swargate,Hinjewadi,10,40,2,2,3103,19555,0,22.687077022236547,0.0,0
Swargate,Hinjewadi,11,40,2,0,3038,19469,0,23.070572745227125,0.0,1
Swargate,Hinjewadi,11,40,2,1,3230,23766,0,26.488421052631576,0.0,0
Swargate,Hinjewadi,11,40,2,2,3222,19555,0,21.849162011173185,0.0,0
Swargate,Hinjewadi,12,40,2,0,2998,19469,0,23.3783855903936,0.0,1
Swargate,Hinjewadi,12,40,2,1,3198,23766,0,26.753470919324577,0.0,0
Swargate,Hinjewadi,12,40,2,2,3184,19555,0,22.109924623115575,0.0,0
Swargate,Hinjewadi,13,40,2,0,2895,19469,0,24.210155440414507,0.0,1
Swargate,Hinjewadi,13,40,2,1,3017,23766,0,28.35850182300298,0.0,0
Swargate,Hinjewadi,13,40,2,2,3282,19543,0,21.43656307129799,0.0,0
Swargate,Hinjewadi,14,40,2,0,2912,19447,0,24.04162087912088,0.0,0
Swargate,Hinjewadi,14,40,2,1,2887,23766,0,29.635469345341185,0.0,1
Swargate,Hinjewadi,14,40,2,2,3265,19556,0,21.56251148545176,0.0,0
Swargate,Hinjewadi,15,40,2,0,2932,23766,0,29.1806275579809,0.0,1
Swargate,Hinjewadi,15,40,2,1,3014,19447,0,23.228002654280026,0.0,0
Swargate,Hinjewadi,15,40,2,2,3462,19917,0,20.710918544194108,0.0,0
Swargate,Hinjewadi,16,40,2,0,3165,23766,0,27.032417061611373,0.0,1
Swargate,Hinjewadi,16,40,2,1,3239,19447,0,21.61444890398271,0.0,0
Swargate,Hinjewadi,16,40,2,2,3692,19917,0,19.42069339111593,0.0,0
Swargate,Hinjewadi,17,40,2,0,3369,23578,0,25.1946571682992,0.0,1
Swargate,Hinjewadi,17,40,2,1,3515,19447,0,19.917268847795164,0.0,0
Swargate,Hinjewadi,17,40,2,2,3549,19532,0,19.81267962806424,0.0,0
Swargate,Hinjewadi,18,40,2,0,3440,23578,0,24.674651162790692,0.0,1
Swargate,Hinjewadi,18,40,2,1,3510,19447,0,19.945641025641024,0.0,0
Swargate,Hinjewadi,18,40,2,2,3530,19532,0,19.91932011331445,0.0,0
Swargate,Hinjewadi,19,40,2,0,3083,19469,0,22.73383068439832,0.0,1
Swargate,Hinjewadi,19,40,2,1,3212,23630,0,26.484433374844333,0.0,0
Swargate,Hinjewadi,19,40,2,2,3183,19555,0,22.11687087653157,0.0,0
Swargate,Hinjewadi,20,40,2,0,2612,19469,0,26.833231240428795,0.0,1
Swargate,Hinjewadi,20,40,2,1,2786,23562,0,30.446231155778896,0.0,0
Swargate,Hinjewadi,20,40,2,2,2755,19555,0,25.55281306715064,0.0,0
Swargate,Hinjewadi,21,40,2,0,2203,19447,0,31.779028597367223,0.0,1
Swargate,Hinjewadi,21,40,2,1,2317,23562,0,36.60906344410876,0.0,0
Swargate,Hinjewadi,21,40,2,2,2489,19870,0,28.7392527119325,0.0,0
Swargate,Hinjewadi,22,40,2,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,40,2,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,40,2,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,23,40,2,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,40,2,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,40,2,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,6,40,3,0,2196,19469,0,31.916393442622955,0.0,1
Swargate,Hinjewadi,6,40,3,1,2294,23562,0,36.97611159546644,0.0,0
Swargate,Hinjewadi,6,40,3,2,2504,19870,0,28.56709265175719,0.0,0
Swargate,Hinjewadi,7,40,3,0,2337,19447,0,29.956867779204103,0.0,1
Swargate,Hinjewadi,7,40,3,1,2466,23562,0,34.3970802919708,0.0,0
Swargate,Hinjewadi,7,40,3,2,2500,19532,0,28.12608,0.0,0
Swargate,Hinjewadi,8,40,3,0,2471,19447,0,28.332335087009305,0.0,1
Swargate,Hinjewadi,8,40,3,1,2702,23562,0,31.39274611398964,0.0,0
Swargate,Hinjewadi,8,40,3,2,2640,19532,0,26.634545454545457,0.0,0
Swargate,Hinjewadi,9,40,3,0,2559,19469,0,27.38898007033998,0.0,1
Swargate,Hinjewadi,9,40,3,1,2862,23766,0,29.894339622641507,0.0,0
Swargate,Hinjewadi,9,40,3,2,2731,19555,0,25.777370926400582,0.0,0
Swargate,Hinjewadi,10,40,3,0,2716,19469,0,25.80574374079529,0.0,1
Swargate,Hinjewadi,10,40,3,1,3027,23766,0,28.26481665014866,0.0,0
Swargate,Hinjewadi,10,40,3,2,2905,19555,0,24.233390705679863,0.0,0
Swargate,Hinjewadi,11,40,3,0,2909,19469,0,24.093640426263324,0.0,1
Swargate,Hinjewadi,11,40,3,1,3194,23766,0,26.786975579211017,0.0,0
Swargate,Hinjewadi,11,40,3,2,3115,19555,0,22.59967897271268,0.0,0
Swargate,Hinjewadi,12,40,3,0,2985,19469,0,23.48020100502513,0.0,1
Swargate,Hinjewadi,12,40,3,1,3215,26572,0,29.75402799377916,0.0,0
Swargate,Hinjewadi,12,40,3,2,3200,19555,0,21.999375,0.0,0
Swargate,Hinjewadi,13,40,3,0,3028,19469,0,23.14676354029062,0.0,1
Swargate,Hinjewadi,13,40,3,1,3163,23766,0,27.049509958899776,0.0,0
Swargate,Hinjewadi,13,40,3,2,3232,19555,0,21.781559405940595,0.0,0
Swargate,Hinjewadi,14,40,3,0,3137,19469,0,22.34249282754224,0.0,0
Swargate,Hinjewadi,14,40,3,1,3091,23766,0,27.67958589453251,0.0,1
Swargate,Hinjewadi,14,40,3,2,3541,19556,0,19.881841287771817,0.0,0
Swargate,Hinjewadi,15,40,3,0,3111,23766,0,27.50163934426229,0.0,1
Swargate,Hinjewadi,15,40,3,1,3279,19469,0,21.37493138151876,0.0,0
Swargate,Hinjewadi,15,40,3,2,3158,26572,0,30.291070297656745,0.0,0
Swargate,Hinjewadi,16,40,3,0,3239,23766,0,26.414819388700217,0.0,1
Swargate,Hinjewadi,16,40,3,1,3428,19469,0,20.44585764294049,0.0,0
Swargate,Hinjewadi,16,40,3,2,3681,19835,0,19.398533007334965,0.0,0
Swargate,Hinjewadi,17,40,3,0,3337,23578,0,25.436260113874734,0.0,1
Swargate,Hinjewadi,17,40,3,1,3509,19447,0,19.951325163864347,0.0,0
Swargate,Hinjewadi,17,40,3,2,3689,19556,0,19.08419625914882,0.0,0
Swargate,Hinjewadi,18,40,3,0,3331,19850,0,21.453017111978387,0.0,0
Swargate,Hinjewadi,18,40,3,1,3326,23578,0,25.520384846662655,0.0,1
