origin,destination,hour,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Swargate,Hinjewadi,0,0,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,0,0,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,0,0,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,6,0,0,2183,19469,0,32.10645900137426,0.0,1
Swargate,Hinjewadi,6,0,1,2281,23562,0,37.18684787373959,0.0,0
Swargate,Hinjewadi,6,0,2,2500,19870,0,28.612800000000004,0.0,0
Swargate,Hinjewadi,8,0,0,2631,19447,0,26.60935005701254,0.0,1
Swargate,Hinjewadi,8,0,1,2828,23562,0,29.9940594059406,0.0,0
Swargate,Hinjewadi,8,0,2,2813,19532,0,24.99651617490224,0.0,0
Swargate,Hinjewadi,10,0,0,2939,19469,0,23.847703300442326,0.0,1
Swargate,Hinjewadi,10,0,1,3161,23766,0,27.066624485922173,0.0,0
Swargate,Hinjewadi,10,0,2,3157,19555,0,22.299018055115617,0.0,0
Swargate,Hinjewadi,12,0,0,3060,19469,0,22.904705882352943,0.0,1
Swargate,Hinjewadi,12,0,1,3228,26572,0,29.634200743494425,0.0,0
Swargate,Hinjewadi,12,0,2,3298,19555,0,21.3456640388114,0.0,0
Swargate,Hinjewadi,14,0,0,2853,19469,0,24.566561514195584,0.0,1
Swargate,Hinjewadi,14,0,1,2907,23766,0,29.43157894736842,0.0,0
Swargate,Hinjewadi,14,0,2,3251,19556,0,21.6553675792064,0.0,0
Swargate,Hinjewadi,16,0,0,3027,23766,0,28.26481665014866,0.0,1
Swargate,Hinjewadi,16,0,1,3084,19469,0,22.72645914396887,0.0,0
Swargate,Hinjewadi,16,0,2,3237,19555,0,21.747914735866544,0.0,0
Swargate,Hinjewadi,18,0,0,3430,23630,0,24.801166180758017,0.0,1
Swargate,Hinjewadi,18,0,1,3543,19447,0,19.759864521591872,0.0,0
Swargate,Hinjewadi,18,0,2,3614,19532,0,19.45633646928611,0.0,0
Swargate,Hinjewadi,20,0,0,2795,19447,0,25.048014311270123,0.0,1
Swargate,Hinjewadi,20,0,1,2970,23630,0,28.642424242424244,0.0,0
Swargate,Hinjewadi,20,0,2,2954,19532,0,23.803385240352064,0.0,0
Swargate,Hinjewadi,22,0,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,0,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,0,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,0,1,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,0,1,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,0,1,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,6,1,0,2182,19469,0,32.1211732355637,0.0,1
Swargate,Hinjewadi,6,1,1,2279,23562,0,37.21948222904783,0.0,0
Swargate,Hinjewadi,6,1,2,2490,19870,0,28.727710843373497,0.0,0
Swargate,Hinjewadi,8,1,0,2586,19447,0,27.07238979118329,0.0,1
Swargate,Hinjewadi,8,1,1,2779,23544,0,30.49960417416337,0.0,0
Swargate,Hinjewadi,8,1,2,2775,19532,0,25.33881081081081,0.0,0
Swargate,Hinjewadi,10,1,0,2874,19469,0,24.38705636743215,0.0,1
Swargate,Hinjewadi,10,1,1,3103,23766,0,27.57254270061231,0.0,0
Swargate,Hinjewadi,10,1,2,3076,19555,0,22.88621586475943,0.0,0
Swargate,Hinjewadi,12,1,0,3015,19469,0,23.246567164179105,0.0,1
Swargate,Hinjewadi,12,1,1,3227,23766,0,26.51304617291602,0.0,0
Swargate,Hinjewadi,12,1,2,3221,19555,0,21.85594535858429,0.0,0
Swargate,Hinjewadi,14,1,0,2861,19469,0,24.49786787836421,0.0,1
Swargate,Hinjewadi,14,1,1,2893,23766,0,29.574006221914964,0.0,0
Swargate,Hinjewadi,14,1,2,3197,19556,0,22.02114482327182,0.0,0
Swargate,Hinjewadi,16,1,0,3009,23766,0,28.433898305084742,0.0,1
Swargate,Hinjewadi,16,1,1,3089,19469,0,22.689673033344125,0.0,0
Swargate,Hinjewadi,16,1,2,3431,19556,0,20.51926552025649,0.0,0
Swargate,Hinjewadi,18,1,0,3431,23578,0,24.739376275138444,0.0,1
Swargate,Hinjewadi,18,1,1,3558,19447,0,19.67655986509275,0.0,0
Swargate,Hinjewadi,18,1,2,3565,19532,0,19.7237587657784,0.0,0
Swargate,Hinjewadi,20,1,0,2792,19447,0,25.074928366762176,0.0,1
Swargate,Hinjewadi,20,1,1,2988,23630,0,28.46987951807229,0.0,0
Swargate,Hinjewadi,20,1,2,2929,19532,0,24.00655513827245,0.0,0
Swargate,Hinjewadi,22,1,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,1,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,1,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,0,2,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,0,2,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,0,2,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,6,2,0,2173,19447,0,32.21776346065347,0.0,1
Swargate,Hinjewadi,6,2,1,2271,23562,0,37.35059445178336,0.0,0
Swargate,Hinjewadi,6,2,2,2481,19870,0,28.83192261185006,0.0,0
Swargate,Hinjewadi,8,2,0,2558,19447,0,27.368725566849097,0.0,1
Swargate,Hinjewadi,8,2,1,2721,23544,0,31.14972436604189,0.0,0
Swargate,Hinjewadi,8,2,2,2735,19532,0,25.709396709323585,0.0,0
Swargate,Hinjewadi,10,2,0,2850,19469,0,24.592421052631583,0.0,1
Swargate,Hinjewadi,10,2,1,3056,23766,0,27.99659685863874,0.0,0
Swargate,Hinjewadi,10,2,2,3018,19555,0,23.32604373757455,0.0,0
Swargate,Hinjewadi,12,2,0,3044,19469,0,23.02509855453351,0.0,1
Swargate,Hinjewadi,12,2,1,3241,23766,0,26.398518975624807,0.0,0
Swargate,Hinjewadi,12,2,2,3231,19555,0,21.7883008356546,0.0,0
Swargate,Hinjewadi,14,2,0,2893,19469,0,24.226892499135847,0.0,1
Swargate,Hinjewadi,14,2,1,2932,23766,0,29.1806275579809,0.0,0
Swargate,Hinjewadi,14,2,2,3255,19556,0,21.628755760368666,0.0,0
Swargate,Hinjewadi,16,2,0,3033,23766,0,28.208902077151333,0.0,1
Swargate,Hinjewadi,16,2,1,3116,19447,0,22.46765083440308,0.0,0
Swargate,Hinjewadi,16,2,2,3566,19917,0,20.106898485698263,0.0,0
Swargate,Hinjewadi,18,2,0,3431,23578,0,24.739376275138444,0.0,1
Swargate,Hinjewadi,18,2,1,3579,19447,0,19.56110645431685,0.0,0
Swargate,Hinjewadi,18,2,2,3587,19532,0,19.60278784499582,0.0,0
Swargate,Hinjewadi,20,2,0,2835,19469,0,24.722539682539686,0.0,1
Swargate,Hinjewadi,20,2,1,3016,23630,0,28.20557029177719,0.0,0
Swargate,Hinjewadi,20,2,2,2972,19555,0,23.68707940780619,0.0,0
Swargate,Hinjewadi,22,2,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,2,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,2,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,0,3,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,0,3,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,0,3,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,6,3,0,2169,19469,0,32.31369294605809,0.0,1
Swargate,Hinjewadi,6,3,1,2271,23562,0,37.35059445178336,0.0,0
Swargate,Hinjewadi,6,3,2,2465,19870,0,29.019066937119675,0.0,0
Swargate,Hinjewadi,8,3,0,2417,19447,0,28.96532892014894,0.0,1
Swargate,Hinjewadi,8,3,1,2590,23562,0,32.75027027027027,0.0,0
Swargate,Hinjewadi,8,3,2,2584,19532,0,27.21176470588236,0.0,0
Swargate,Hinjewadi,10,3,0,2630,19469,0,26.649581749049432,0.0,1
