origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Hadapsar,Swargate,9,30,1,2,1875,10494,0,20.14848,0.0,0
Hadapsar,Swargate,10,30,1,0,1568,8486,0,19.483163265306125,0.0,1
Hadapsar,Swargate,10,30,1,1,2116,11129,0,18.934026465028357,0.0,0
Hadapsar,Swargate,10,30,1,2,2238,11695,0,18.812332439678283,0.0,0
Hadapsar,Swargate,11,30,1,0,1610,8486,0,18.97490683229814,0.0,1
Hadapsar,Swargate,11,30,1,1,2197,11202,0,18.355575785161584,0.0,0
Hadapsar,Swargate,11,30,1,2,2335,11695,0,18.03083511777302,0.0,0
Hadapsar,Swargate,12,30,1,0,1562,8486,0,19.558002560819464,0.0,1
Hadapsar,Swargate,12,30,1,1,2241,11764,0,18.897991967871484,0.0,0
Hadapsar,Swargate,12,30,1,2,1710,9613,0,20.237894736842104,0.0,0
Hadapsar,Swargate,13,30,1,0,1458,8486,0,20.953086419753088,0.0,1
Hadapsar,Swargate,13,30,1,1,1630,9613,0,21.231165644171778,0.0,0
Hadapsar,Swargate,13,30,1,2,2176,11764,0,19.4625,0.0,0
Hadapsar,Swargate,14,30,1,0,1430,8486,0,21.363356643356646,0.0,1
Hadapsar,Swargate,14,30,1,1,2131,11764,0,19.87348662599718,0.0,0
Hadapsar,Swargate,14,30,1,2,1609,9613,0,21.508266003729023,0.0,0
Hadapsar,Swargate,15,30,1,0,1469,8486,0,20.796187882913546,0.0,1
Hadapsar,Swargate,15,30,1,1,2142,11764,0,19.771428571428572,0.0,0
Hadapsar,Swargate,15,30,1,2,1639,9613,0,21.11458206223307,0.0,0
Hadapsar,Swargate,16,30,1,0,1577,8486,0,19.371972098922008,0.0,1
Hadapsar,Swargate,16,30,1,1,2220,11764,0,19.076756756756755,0.0,0
Hadapsar,Swargate,16,30,1,2,1728,9613,0,20.027083333333334,0.0,0
Hadapsar,Swargate,17,30,1,0,1692,8486,0,18.055319148936174,0.0,1
Hadapsar,Swargate,17,30,1,1,2311,11764,0,18.32557334487235,0.0,0
Hadapsar,Swargate,17,30,1,2,2045,10475,0,18.440097799511,0.0,0
Hadapsar,Swargate,18,30,1,0,1698,8486,0,17.991519434628977,0.0,1
Hadapsar,Swargate,18,30,1,1,2249,11110,0,17.78390395731436,0.0,0
Hadapsar,Swargate,18,30,1,2,2464,12146,0,17.745779220779223,0.0,0
Hadapsar,Swargate,19,30,1,0,1542,8486,0,19.811673151750973,0.0,1
Hadapsar,Swargate,19,30,1,1,2192,11626,0,19.093795620437955,0.0,0
Hadapsar,Swargate,19,30,1,2,1689,9613,0,20.489520426287744,0.0,0
Hadapsar,Swargate,20,30,1,0,1306,8486,0,23.39173047473201,0.0,1
Hadapsar,Swargate,20,30,1,1,1485,9613,0,23.304242424242425,0.0,0
Hadapsar,Swargate,20,30,1,2,2007,12146,0,21.786547085201796,0.0,0
Hadapsar,Swargate,21,30,1,0,1095,8486,0,27.899178082191785,0.0,1
Hadapsar,Swargate,21,30,1,1,1744,12131,0,25.04105504587156,0.0,0
Hadapsar,Swargate,21,30,1,2,1768,11129,0,22.660859728506786,0.0,0
Hadapsar,Swargate,22,30,1,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,1,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,1,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,1,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,1,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,1,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,2,0,1077,8486,0,28.365459610027855,0.0,1
Hadapsar,Swargate,6,30,2,1,1272,9613,0,27.206603773584906,0.0,0
Hadapsar,Swargate,6,30,2,2,1750,12131,0,24.9552,0.0,0
Hadapsar,Swargate,7,30,2,0,1218,8486,0,25.081773399014782,0.0,1
Hadapsar,Swargate,7,30,2,1,1823,11626,0,22.958639605046624,0.0,0
Hadapsar,Swargate,7,30,2,2,1384,9613,0,25.00491329479769,0.0,0
Hadapsar,Swargate,8,30,2,0,1391,8486,0,21.96232925952552,0.0,1
Hadapsar,Swargate,8,30,2,1,1961,11626,0,21.342988271290157,0.0,0
Hadapsar,Swargate,8,30,2,2,1535,9613,0,22.54514657980456,0.0,0
Hadapsar,Swargate,9,30,2,0,1464,8486,0,20.8672131147541,0.0,1
Hadapsar,Swargate,9,30,2,1,2033,11626,0,20.587112641416624,0.0,0
Hadapsar,Swargate,9,30,2,2,1609,9613,0,21.508266003729023,0.0,0
Hadapsar,Swargate,10,30,2,0,1544,8486,0,19.786010362694302,0.0,1
Hadapsar,Swargate,10,30,2,1,2127,11764,0,19.91086036671368,0.0,0
Hadapsar,Swargate,10,30,2,2,1904,10475,0,19.805672268907564,0.0,0
Hadapsar,Swargate,11,30,2,0,1597,8486,0,19.129367564182843,0.0,1
Hadapsar,Swargate,11,30,2,1,2200,11764,0,19.250181818181815,0.0,0
Hadapsar,Swargate,11,30,2,2,1944,10475,0,19.398148148148145,0.0,0
Hadapsar,Swargate,12,30,2,0,1566,8486,0,19.508045977011495,0.0,1
Hadapsar,Swargate,12,30,2,1,2209,11764,0,19.171751923947486,0.0,0
Hadapsar,Swargate,12,30,2,2,1931,10475,0,19.528741584671153,0.0,0
Hadapsar,Swargate,13,30,2,0,1463,8486,0,20.881476418318524,0.0,1
Hadapsar,Swargate,13,30,2,1,2150,11764,0,19.69786046511628,0.0,0
Hadapsar,Swargate,13,30,2,2,1625,9613,0,21.296492307692308,0.0,0
Hadapsar,Swargate,14,30,2,0,1428,8486,0,21.393277310924372,0.0,1
Hadapsar,Swargate,14,30,2,1,2114,11764,0,20.033301797540208,0.0,0
Hadapsar,Swargate,14,30,2,2,1599,9613,0,21.642776735459663,0.0,0
Hadapsar,Swargate,15,30,2,0,1465,8486,0,20.85296928327645,0.0,1
Hadapsar,Swargate,15,30,2,1,2134,11764,0,19.845548266166823,0.0,0
Hadapsar,Swargate,15,30,2,2,1632,9613,0,21.20514705882353,0.0,0
Hadapsar,Swargate,16,30,2,0,1587,8486,0,19.249905482041587,0.0,1
Hadapsar,Swargate,16,30,2,1,2217,11764,0,19.10257104194858,0.0,0
Hadapsar,Swargate,16,30,2,2,1736,9613,0,19.93479262672811,0.0,0
Hadapsar,Swargate,17,30,2,0,1727,8486,0,17.689403590040534,0.0,1
Hadapsar,Swargate,17,30,2,1,2307,11764,0,18.357347204161247,0.0,0
Hadapsar,Swargate,17,30,2,2,2081,10475,0,18.121095627102353,0.0,0
Hadapsar,Swargate,18,30,2,0,1745,8486,0,17.506934097421205,0.0,1
Hadapsar,Swargate,18,30,2,1,2321,11764,0,18.246617837139166,0.0,0
Hadapsar,Swargate,18,30,2,2,2106,10475,0,17.905982905982906,0.0,0
Hadapsar,Swargate,19,30,2,0,1583,8486,0,19.298547062539484,0.0,1
Hadapsar,Swargate,19,30,2,1,2179,11626,0,19.207709958696647,0.0,0
Hadapsar,Swargate,19,30,2,2,1726,9613,0,20.05028968713789,0.0,0
Hadapsar,Swargate,20,30,2,0,1329,8486,0,22.986907449209937,0.0,1
